"term","Hypertension (Prevalence)_OR_sig","Diabetes (Prevalence)_OR_sig","Dyslipidemia (Prevalence)_OR_sig","Hypertension (Awareness)_OR_sig","Diabetes (Awareness)_OR_sig","Dyslipidemia (Awareness)_OR_sig","Hypertension (Prevalence)_p.value","Diabetes (Prevalence)_p.value","Dyslipidemia (Prevalence)_p.value","Hypertension (Awareness)_p.value","Diabetes (Awareness)_p.value","Dyslipidemia (Awareness)_p.value"
"strata0_0_0_4","7.32 (2.14–24.98)**","2.71 (0.33–22.51)","12.95 (1.58–106.20)*","0.69 (0.06–7.37)","85186.62 (NaN–NaN)","0.00 (NaN–NaN)",0.00148917132182393,0.357288928129918,0.0170504191417508,0.755508395111868,NA,NA
"strata1_0_0_4","7.71 (2.03–29.35)**","3.50 (0.39–31.62)","9.27 (1.05–81.77)*","0.50 (0.04–5.98)","249911.22 (NaN–NaN)","0.00 (NaN–NaN)",0.00274532896997662,0.265224328721248,0.0449050729222356,0.584939446719452,NA,NA
"strata2_0_0_4","6.60 (1.64–26.61)**","7.82 (0.83–73.38)","20.15 (2.19–185.36)**","0.59 (0.05–7.32)","1984991.45 (NaN–NaN)","0.00 (NaN–NaN)",0.00796148873867335,0.0717275795771774,0.0079777569595408,0.681437737933325,NA,NA
"strata0_1_0_4","7.84 (2.21–27.81)**","3.37 (0.40–28.73)","5.83 (0.69–49.14)","0.51 (0.05–5.59)","352659.72 (NaN–NaN)","0.00 (NaN–NaN)",0.00142941834228117,0.266652514306907,0.104823784264702,0.57915522708124,NA,NA
"strata1_1_0_4","14.88 (3.08–71.92)***","5.96 (0.59–59.76)","12.64 (1.29–124.30)*","0.94 (0.07–12.44)","0.00 (NaN–NaN)","0.00 (NaN–NaN)",0.000781667244103831,0.129409593309818,0.0295809974594126,0.960130150807891,NA,NA
"strata2_1_0_4","10.56 (1.98–56.29)**","3.14 (0.22–44.03)","11.36 (0.99–129.65)","1.28 (0.07–21.84)","550747.90 (NaN–NaN)","0.00 (NaN–NaN)",0.00576008078546636,0.395736952049875,0.0505115637298214,0.865424466026977,NA,NA
"strata0_0_1_4","6.30 (1.90–20.91)**","2.62 (0.32–21.20)","11.40 (1.42–91.73)*","0.58 (0.06–6.07)","363260.88 (NaN–NaN)","0.00 (NaN–NaN)",0.00263179745341472,0.367782235379009,0.0221520026839925,0.648846942491162,NA,NA
"strata1_0_1_4","6.80 (1.99–23.27)**","4.00 (0.48–33.04)","11.65 (1.42–95.48)*","0.78 (0.07–8.41)","352824.34 (NaN–NaN)","0.00 (NaN–NaN)",0.00226312163064728,0.198632404070745,0.0221613470842985,0.837146629044648,NA,NA
"strata2_0_1_4","5.54 (1.62–18.94)**","4.97 (0.60–41.12)","11.88 (1.45–97.59)*","1.36 (0.12–14.98)","403860.56 (NaN–NaN)","0.00 (NaN–NaN)",0.00628359567527066,0.136712431544481,0.0212513400125483,0.801825529984176,NA,NA
"strata0_1_1_4","5.58 (1.69–18.48)**","2.48 (0.31–20.10)","8.84 (1.10–71.01)*","0.66 (0.06–6.88)","313128.77 (NaN–NaN)","0.00 (NaN–NaN)",0.0048649146604647,0.393663755277537,0.0404149298326606,0.725938035457793,NA,NA
